Date,BNB.USD.Adjusted
2020-01-01,13.689083099365234
2020-01-02,13.027010917663574
2020-01-03,13.660451889038086
2020-01-04,13.891511917114258
2020-01-05,14.111019134521484
2020-01-06,14.957807540893555
2020-01-07,15.009249687194824
2020-01-08,14.602933883666992
2020-01-09,14.498313903808594
2020-01-10,15.025826454162598
2020-01-11,14.946328163146973
2020-01-12,15.322083473205566
2020-01-13,15.227272033691406
2020-01-14,16.626121520996094
2020-01-15,17.65481185913086
2020-01-16,17.076946258544922
2020-01-17,18.13519859313965
2020-01-18,17.82391929626465
2020-01-19,17.369253158569336
2020-01-20,17.325275421142578
2020-01-21,18.127666473388672
2020-01-22,17.79836082458496
2020-01-23,17.021404266357422
2020-01-24,17.047409057617188
2020-01-25,16.976106643676758
2020-01-26,17.43863296508789
2020-01-27,17.691341400146484
2020-01-28,18.115135192871094
2020-01-29,17.912776947021484
2020-01-30,18.590408325195313
2020-01-31,18.210979461669922
2020-02-01,18.218320846557617
2020-02-02,18.448184967041016
2020-02-03,18.46275520324707
2020-02-04,18.177366256713867
2020-02-05,19.215049743652344
2020-02-06,20.59526252746582
2020-02-07,22.062257766723633
2020-02-08,21.782419204711914
2020-02-09,24.308561325073242
2020-02-10,25.21831512451172
2020-02-11,25.63740348815918
2020-02-12,26.46676254272461
2020-02-13,25.440099716186523
2020-02-14,26.296958923339844
2020-02-15,24.14965057373047
2020-02-16,23.466388702392578
2020-02-17,23.55137825012207
2020-02-18,24.058177947998047
2020-02-19,22.333511352539063
2020-02-20,22.22914695739746
2020-02-21,22.184877395629883
2020-02-22,21.968481063842773
2020-02-23,22.82887077331543
2020-02-24,22.044126510620117
2020-02-25,20.342470169067383
2020-02-26,18.799131393432617
2020-02-27,19.122568130493164
2020-02-28,18.85483741760254
2020-02-29,19.584091186523438
2020-03-01,18.963232040405273
2020-03-02,19.814064025878906
2020-03-03,19.637189865112305
2020-03-04,19.95918846130371
2020-03-05,20.802030563354492
2020-03-06,21.288389205932617
2020-03-07,20.179567337036133
2020-03-08,16.97406578063965
2020-03-09,16.570743560791016
2020-03-10,16.875654220581055
2020-03-11,16.52483367919922
2020-03-12,9.600166320800781
2020-03-13,10.833057403564453
2020-03-14,10.140448570251465
2020-03-15,10.436017990112305
2020-03-16,9.3860502243042
2020-03-17,10.07717514038086
2020-03-18,10.119136810302734
2020-03-19,12.279640197753906
2020-03-20,11.875866889953613
2020-03-21,12.057991027832031
2020-03-22,11.158227920532227
2020-03-23,12.117714881896973
2020-03-24,12.401220321655273
2020-03-25,12.324299812316895
2020-03-26,13.217611312866211
2020-03-27,12.5232572555542
2020-03-28,12.193113327026367
2020-03-29,11.441221237182617
2020-03-30,12.286843299865723
2020-03-31,12.581605911254883
2020-04-01,12.741602897644043
2020-04-02,13.066638946533203
2020-04-03,13.373007774353027
2020-04-04,13.824527740478516
2020-04-05,13.734115600585938
2020-04-06,15.084521293640137
2020-04-07,14.681547164916992
2020-04-08,15.056076049804688
2020-04-09,15.062603950500488
2020-04-10,13.737724304199219
2020-04-11,13.804287910461426
2020-04-12,14.375110626220703
2020-04-13,15.03442668914795
2020-04-14,15.525075912475586
2020-04-15,14.593927383422852
2020-04-16,15.702730178833008
2020-04-17,15.735082626342773
2020-04-18,16.593172073364258
2020-04-19,16.13993263244629
2020-04-20,15.085403442382813
2020-04-21,15.205772399902344
2020-04-22,15.693160057067871
2020-04-23,16.006208419799805
2020-04-24,16.01641845703125
2020-04-25,16.305418014526367
2020-04-26,16.38376808166504
2020-04-27,16.463214874267578
2020-04-28,16.444286346435547
2020-04-29,17.4937744140625
2020-04-30,17.03397560119629
2020-05-01,17.564992904663086
